Room Number,Square Footage,Occupancy,Quality Score,Floorplan Score,,,,,,Singles Dorms,Doubles Dorms,,Location Rating,Description
DIMAN HOUSE 334,232,2,0,0,,,,,,,,,,
GODDARD HOUSE 210,121,1,0,0,,,,,,,,,,
GODDARD HOUSE 212,126,1,0,0,,,,,,,,,,
GODDARD HOUSE 214,133,1,0,0,,,,,,,,,,
GODDARD HOUSE 216,133,1,0,0,,,,,,,,,,
GODDARD HOUSE 217,135,2,0,0,,,,,,,,,,
GODDARD HOUSE 219,132,1,0,0,,,,,,,,,,
GODDARD HOUSE 223,224,2,0,0,,,,,,,,,,
GODDARD HOUSE 227,219,2,0,0,,,,,,,,,,
GODDARD HOUSE 317,127,1,0,0,,,,,,,,,,
GODDARD HOUSE 318,127,1,0,0,,,,,,,,,,
GODDARD HOUSE 319,132,1,0,0,,,,,,,,,,
GODDARD HOUSE 323,224,2,0,0,,,,,,,,,,
GODDARD HOUSE 327,219,2,0,0,,,,,,,,,,
GODDARD HOUSE 329,129,1,0,0,,,,,,,,,,
GODDARD HOUSE 330,129,1,0,0,,,,,,,,,,
GODDARD HOUSE 331,129,1,0,0,,,,,,,,,,
GODDARD HOUSE 332,129,1,0,0,,,,,,,,,,
GODDARD HOUSE 333,129,1,0,0,,,,,,,,,,
GODDARD HOUSE 334,129,1,0,0,,,,,,,,,,
GODDARD HOUSE 335,129,1,0,0,,,,,,,,,,
GODDARD HOUSE 336,129,1,0,0,,,,,,,,,,
GODDARD HOUSE 338,126,1,0,0,,,,,,,,,,
GODDARD HOUSE 340,121,1,0,0,,,,,,,,,,
GODDARD HOUSE 342,250,2,0,0,,,,,,,,,,
GODDARD HOUSE 345,141,1,0,0,,,,,,,,,,
GODDARD HOUSE 347,232,2,0,0,,,,,,,,,,
GRAD CENTER B 110 111,128,1,0,0,,,,,,,,,,
GRAD CENTER B 110 112,121,1,0,0,,,,,,,,,,
GRAD CENTER B 110 113,117,1,0,0,,,,,,,,,,
GRAD CENTER B 110 114,128,1,0,0,,,,,,,,,,
GRAD CENTER B 110 115,117,1,0,0,,,,,,,,,,
GRAD CENTER B 120 121,121,1,0,0,,,,,,,,,,
GRAD CENTER B 120 122,117,1,0,0,,,,,,,,,,
GRAD CENTER B 120 123,128,1,0,0,,,,,,,,,,
GRAD CENTER B 120 124,117,1,0,0,,,,,,,,,,
GRAD CENTER B 120 125,128,1,0,0,,,,,,,,,,
GRAD CENTER B 140 141,121,1,0,0,,,,,,,,,,
GRAD CENTER B 140 142,117,1,0,0,,,,,,,,,,
GRAD CENTER B 140 143,128,1,0,0,,,,,,,,,,
GRAD CENTER B 140 144,117,1,0,0,,,,,,,,,,
GRAD CENTER B 140 145,128,1,0,0,,,,,,,,,,
GRAD CENTER B 230 231,128,1,0,0,,,,,,,,,,
GRAD CENTER B 230 232,121,1,0,0,,,,,,,,,,
GRAD CENTER B 230 233,117,1,0,0,,,,,,,,,,
GRAD CENTER B 230 234,128,1,0,0,,,,,,,,,,
GRAD CENTER B 230 235,117,1,0,0,,,,,,,,,,
GRAD CENTER B 240 245,128,1,0,0,,,,,,,,,,
GRAD CENTER B 310 311,128,1,0,0,,,,,,,,,,
GRAD CENTER B 310 312,121,1,0,0,,,,,,,,,,
GRAD CENTER B 310 313,117,1,0,0,,,,,,,,,,
GRAD CENTER B 310 314,128,1,0,0,,,,,,,,,,
GRAD CENTER B 310 315,117,1,0,0,,,,,,,,,,
GRAD CENTER B 310 316,128,1,0,0,,,,,,,,,,
GRAD CENTER B 320 321,121,1,0,0,,,,,,,,,,
GRAD CENTER B 320 322,117,1,0,0,,,,,,,,,,
GRAD CENTER B 320 323,128,1,0,0,,,,,,,,,,
GRAD CENTER B 320 324,117,1,0,0,,,,,,,,,,
GRAD CENTER B 320 325,128,1,0,0,,,,,,,,,,
GRAD CENTER B 340 341,121,1,0,0,,,,,,,,,,
GRAD CENTER B 340 342,117,1,0,0,,,,,,,,,,
GRAD CENTER B 340 343,128,1,0,0,,,,,,,,,,
GRAD CENTER B 340 344,117,1,0,0,,,,,,,,,,
GRAD CENTER B 340 345,128,1,0,0,,,,,,,,,,
GRAD CENTER B 410 411,128,1,0,0,,,,,,,,,,
GRAD CENTER B 410 413,117,1,0,0,,,,,,,,,,
GRAD CENTER B 410 414,128,1,0,0,,,,,,,,,,
GRAD CENTER B 410 415,117,1,0,0,,,,,,,,,,
GRAD CENTER B 410 416,128,1,0,0,,,,,,,,,,
GRAD CENTER B 420 421,121,1,0,0,,,,,,,,,,
GRAD CENTER B 420 422,117,1,0,0,,,,,,,,,,
GRAD CENTER B 420 423,128,1,0,0,,,,,,,,,,
GRAD CENTER B 420 424,117,1,0,0,,,,,,,,,,
GRAD CENTER B 420 425,128,1,0,0,,,,,,,,,,
GRAD CENTER B 430 431,128,1,0,0,,,,,,,,,,
GRAD CENTER B 430 432,121,1,0,0,,,,,,,,,,
GRAD CENTER B 430 433,117,1,0,0,,,,,,,,,,
GRAD CENTER B 430 434,128,1,0,0,,,,,,,,,,
GRAD CENTER B 430 435,117,1,0,0,,,,,,,,,,
GRAD CENTER B 430 436,128,1,0,0,,,,,,,,,,
GRAD CENTER B 440 441,121,1,0,0,,,,,,,,,,
GRAD CENTER B 440 442,117,1,0,0,,,,,,,,,,
GRAD CENTER B 440 443,128,1,0,0,,,,,,,,,,
GRAD CENTER B 440 444,117,1,0,0,,,,,,,,,,
GRAD CENTER B 440 445,129,1,0,0,,,,,,,,,,
GRAD CENTER B 510 511,128,1,0,0,,,,,,,,,,
GRAD CENTER B 510 512,121,1,0,0,,,,,,,,,,
GRAD CENTER B 510 513,117,1,0,0,,,,,,,,,,
GRAD CENTER B 510 514,128,1,0,0,,,,,,,,,,
GRAD CENTER B 510 515,117,1,0,0,,,,,,,,,,
GRAD CENTER B 510 516,128,1,0,0,,,,,,,,,,
GRAD CENTER B 530 531,128,1,0,0,,,,,,,,,,
GRAD CENTER B 530 532,121,1,0,0,,,,,,,,,,
GRAD CENTER B 530 533,117,1,0,0,,,,,,,,,,
GRAD CENTER B 530 534,128,1,0,0,,,,,,,,,,
GRAD CENTER B 530 535,117,1,0,0,,,,,,,,,,
GRAD CENTER B 540 543,128,1,0,0,,,,,,,,,,
GRAD CENTER B 540 544,117,1,0,0,,,,,,,,,,
GRAD CENTER B 540 545,129,1,0,0,,,,,,,,,,
GRAD CENTER B 630 631,128,1,0,0,,,,,,,,,,
GRAD CENTER B 630 632,121,1,0,0,,,,,,,,,,
GRAD CENTER B 630 633,128,1,0,0,,,,,,,,,,
GRAD CENTER B 630 634,128,1,0,0,,,,,,,,,,
GRAD CENTER B 630 635,117,1,0,0,,,,,,,,,,
GRAD CENTER B 630 636,129,1,0,0,,,,,,,,,,
GRAD CENTER B 640 641,121,1,0,0,,,,,,,,,,
GRAD CENTER B 640 642,117,1,0,0,,,,,,,,,,
GRAD CENTER B 640 643,128,1,0,0,,,,,,,,,,
GRAD CENTER B 640 644,117,1,0,0,,,,,,,,,,
GRAD CENTER B 640 645,129,1,0,0,,,,,,,,,,
GRAD CENTER D 110 111,121,1,0,0,,,,,,,,,,
GRAD CENTER D 110 112,117,1,0,0,,,,,,,,,,
GRAD CENTER D 110 113,128,1,0,0,,,,,,,,,,
GRAD CENTER D 110 114,117,1,0,0,,,,,,,,,,
GRAD CENTER D 110 115,128,1,0,0,,,,,,,,,,
GRAD CENTER D 120 121,128,1,0,0,,,,,,,,,,
GRAD CENTER D 120 123,117,1,0,0,,,,,,,,,,
GRAD CENTER D 120 124,128,1,0,0,,,,,,,,,,
GRAD CENTER D 120 125,117,1,0,0,,,,,,,,,,
GRAD CENTER D 140 142,121,1,0,0,,,,,,,,,,
GRAD CENTER D 140 143,117,1,0,0,,,,,,,,,,
GRAD CENTER D 140 144,128,1,0,0,,,,,,,,,,
GRAD CENTER D 140 145,117,1,0,0,,,,,,,,,,
GRAD CENTER D 220 221,128,1,0,0,,,,,,,,,,
GRAD CENTER D 220 222,121,1,0,0,,,,,,,,,,
GRAD CENTER D 220 223,117,1,0,0,,,,,,,,,,
GRAD CENTER D 220 224,128,1,0,0,,,,,,,,,,
GRAD CENTER D 220 225,117,1,0,0,,,,,,,,,,
GRAD CENTER D 220 226,128,1,0,0,,,,,,,,,,
GRAD CENTER D 230 232,117,1,0,0,,,,,,,,,,
GRAD CENTER D 230 233,128,1,0,0,,,,,,,,,,
GRAD CENTER D 230 234,117,1,0,0,,,,,,,,,,
GRAD CENTER D 230 235,128,1,0,0,,,,,,,,,,
GRAD CENTER D 240 241,128,1,0,0,,,,,,,,,,
GRAD CENTER D 240 242,121,1,0,0,,,,,,,,,,
GRAD CENTER D 240 243,117,1,0,0,,,,,,,,,,
GRAD CENTER D 240 244,128,1,0,0,,,,,,,,,,
GRAD CENTER D 240 245,117,1,0,0,,,,,,,,,,
GRAD CENTER D 240 246,128,1,0,0,,,,,,,,,,
GRAD CENTER D 310 311,121,1,0,0,,,,,,,,,,
GRAD CENTER D 310 312,117,1,0,0,,,,,,,,,,
GRAD CENTER D 310 313,128,1,0,0,,,,,,,,,,
GRAD CENTER D 310 314,117,1,0,0,,,,,,,,,,
GRAD CENTER D 310 315,129,1,0,0,,,,,,,,,,
GRAD CENTER D 320 321,128,1,0,0,,,,,,,,,,
GRAD CENTER D 320 322,121,1,0,0,,,,,,,,,,
GRAD CENTER D 320 323,117,1,0,0,,,,,,,,,,
GRAD CENTER D 320 324,124,1,0,0,,,,,,,,,,
GRAD CENTER D 320 325,117,1,0,0,,,,,,,,,,
GRAD CENTER D 320 326,111,1,0,0,,,,,,,,,,
GRAD CENTER D 330 331,121,1,0,0,,,,,,,,,,
GRAD CENTER D 330 332,117,1,0,0,,,,,,,,,,
GRAD CENTER D 330 333,128,1,0,0,,,,,,,,,,
GRAD CENTER D 330 334,117,1,0,0,,,,,,,,,,
GRAD CENTER D 330 335,128,1,0,0,,,,,,,,,,
GRAD CENTER D 340 341,128,1,0,0,,,,,,,,,,
GRAD CENTER D 340 342,121,1,0,0,,,,,,,,,,
GRAD CENTER D 340 343,117,1,0,0,,,,,,,,,,
GRAD CENTER D 340 344,128,1,0,0,,,,,,,,,,
GRAD CENTER D 340 345,117,1,0,0,,,,,,,,,,
GRAD CENTER D 340 346,128,1,0,0,,,,,,,,,,
GRAD CENTER D 420 421,128,1,0,0,,,,,,,,,,
GRAD CENTER D 420 422,121,1,0,0,,,,,,,,,,
GRAD CENTER D 420 423,117,1,0,0,,,,,,,,,,
GRAD CENTER D 420 424,128,1,0,0,,,,,,,,,,
GRAD CENTER D 420 425,117,1,0,0,,,,,,,,,,
GRAD CENTER D 430 431,121,1,0,0,,,,,,,,,,
GRAD CENTER D 430 432,117,1,0,0,,,,,,,,,,
GRAD CENTER D 430 433,128,1,0,0,,,,,,,,,,
GRAD CENTER D 430 434,117,1,0,0,,,,,,,,,,
GRAD CENTER D 430 435,128,1,0,0,,,,,,,,,,
GRAD CENTER D 440 441,128,1,0,0,,,,,,,,,,
GRAD CENTER D 440 442,121,1,0,0,,,,,,,,,,
GRAD CENTER D 440 443,117,1,0,0,,,,,,,,,,
GRAD CENTER D 440 444,128,1,0,0,,,,,,,,,,
