Room Number,Square Footage,Occupancy,Quality Score,Floorplan Score,,,,,,Singles Dorms,Doubles Dorms,,Location Rating,Description
NEW PEMBROKE 3 109,205,2,0,0,,,,,,,,,,
NEW PEMBROKE 3 110,164,2,0,0,,,,,,,,,,
NEW PEMBROKE 3 111,206,2,0,0,,,,,,,,,,
NEW PEMBROKE 3 113,205,2,0,0,,,,,,,,,,
NEW PEMBROKE 3 115,219,2,0,0,,,,,,,,,,
NEW PEMBROKE 3 117,194,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 109,214,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 112,198,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 209,215,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 211,217,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 212,198,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 309,215,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 310,220,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 311,206,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 312,198,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 409,215,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 410,225,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 411,220,2,0,0,,,,,,,,,,
NORTH CASWELL HALL 412,198,2,0,0,,,,,,,,,,
OLNEY HOUSE 111,133,1,0,0,,,,,,,,,,
OLNEY HOUSE 113,219,2,0,0,,,,,,,,,,
OLNEY HOUSE 116,274,2,0,0,,,,,,,,,,
OLNEY HOUSE 117,219,2,0,0,,,,,,,,,,
OLNEY HOUSE 121,133,1,0,0,,,,,,,,,,
OLNEY HOUSE 122,133,1,0,0,,,,,,,,,,
OLNEY HOUSE 201,232,2,0,0,,,,,,,,,,
OLNEY HOUSE 202,232,2,0,0,,,,,,,,,,
OLNEY HOUSE 204,244,2,0,0,,,,,,,,,,
OLNEY HOUSE 207,248,2,0,0,,,,,,,,,,
OLNEY HOUSE 208,248,2,0,0,,,,,,,,,,
OLNEY HOUSE 209,133,1,0,0,,,,,,,,,,
OLNEY HOUSE 210,133,1,0,0,,,,,,,,,,
OLNEY HOUSE 212,133,1,0,0,,,,,,,,,,
OLNEY HOUSE 213,219,2,0,0,,,,,,,,,,
OLNEY HOUSE 214,251,2,0,0,,,,,,,,,,
OLNEY HOUSE 301,232,2,0,0,,,,,,,,,,
OLNEY HOUSE 302,232,2,0,0,,,,,,,,,,
OLNEY HOUSE 304,244,2,0,0,,,,,,,,,,
OLNEY HOUSE 306A,122,1,0,0,,,,,,,,,,
OLNEY HOUSE 306B,122,1,0,0,,,,,,,,,,
OLNEY HOUSE 307,248,2,0,0,,,,,,,,,,
OLNEY HOUSE 308,248,2,0,0,,,,,,,,,,
OLNEY HOUSE 309,130,1,0,0,,,,,,,,,,
OLNEY HOUSE 310,130,1,0,0,,,,,,,,,,
OLNEY HOUSE 312,130,1,0,0,,,,,,,,,,
PERKINS HALL 002,200,2,0,0,,,,,,,,,,
PERKINS HALL 003,207,2,0,0,,,,,,,,,,
PERKINS HALL 004,200,2,0,0,,,,,,,,,,
PERKINS HALL 005,200,2,0,0,,,,,,,,,,
PERKINS HALL 006,200,2,0,0,,,,,,,,,,
PERKINS HALL 007,207,2,0,0,,,,,,,,,,
PERKINS HALL 008,191,1,0,0,,,,,,,,,,
PERKINS HALL 011,192,2,0,0,,,,,,,,,,
PERKINS HALL 012,192,2,0,0,,,,,,,,,,
PERKINS HALL 014,192,2,0,0,,,,,,,,,,
PERKINS HALL 021,335,2,0,0,,,,,,,,,,
PERKINS HALL 022,263,2,0,0,,,,,,,,,,
PERKINS HALL 103,195,2,0,0,,,,,,,,,,
PERKINS HALL 113,195,2,0,0,,,,,,,,,,
PERKINS HALL 114,192,2,0,0,,,,,,,,,,
PERKINS HALL 115,192,2,0,0,,,,,,,,,,
PERKINS HALL 116,192,2,0,0,,,,,,,,,,
PERKINS HALL 117,195,2,0,0,,,,,,,,,,
PERKINS HALL 118,203,2,0,0,,,,,,,,,,
PERKINS HALL 119,191,2,0,0,,,,,,,,,,
PERKINS HALL 120,187,2,0,0,,,,,,,,,,
PERKINS HALL 121,203,2,0,0,,,,,,,,,,
PERKINS HALL 122,195,2,0,0,,,,,,,,,,
PERKINS HALL 123,192,2,0,0,,,,,,,,,,
PERKINS HALL 124,192,2,0,0,,,,,,,,,,
PERKINS HALL 125,192,2,0,0,,,,,,,,,,
PERKINS HALL 126,195,2,0,0,,,,,,,,,,
PERKINS HALL 127,194,2,0,0,,,,,,,,,,
PERKINS HALL 128,195,2,0,0,,,,,,,,,,
PERKINS HALL 129,192,2,0,0,,,,,,,,,,
PERKINS HALL 130,192,2,0,0,,,,,,,,,,
PERKINS HALL 131,192,2,0,0,,,,,,,,,,
PERKINS HALL 132,195,2,0,0,,,,,,,,,,
PERKINS HALL 133,203,2,0,0,,,,,,,,,,
PERKINS HALL 134,160,1,0,0,,,,,,,,,,
PERKINS HALL 136,203,2,0,0,,,,,,,,,,
PERKINS HALL 137,195,2,0,0,,,,,,,,,,
PERKINS HALL 138,192,2,0,0,,,,,,,,,,
PERKINS HALL 139,192,2,0,0,,,,,,,,,,
PERKINS HALL 215,184,2,0,0,,,,,,,,,,
PERKINS HALL 216,195,2,0,0,,,,,,,,,,
PERKINS HALL 217,192,2,0,0,,,,,,,,,,
PERKINS HALL 218,192,2,0,0,,,,,,,,,,
PERKINS HALL 219,192,2,0,0,,,,,,,,,,
PERKINS HALL 220,195,2,0,0,,,,,,,,,,
PERKINS HALL 221,203,2,0,0,,,,,,,,,,
PERKINS HALL 224,203,2,0,0,,,,,,,,,,
PERKINS HALL 225,195,2,0,0,,,,,,,,,,
PERKINS HALL 226,192,2,0,0,,,,,,,,,,
PERKINS HALL 227,192,2,0,0,,,,,,,,,,
PERKINS HALL 228,192,2,0,0,,,,,,,,,,
PERKINS HALL 229,195,2,0,0,,,,,,,,,,
PERKINS HALL 230,205,2,0,0,,,,,,,,,,
PERKINS HALL 231,195,2,0,0,,,,,,,,,,
PERKINS HALL 232,192,2,0,0,,,,,,,,,,
PERKINS HALL 233,192,2,0,0,,,,,,,,,,
PERKINS HALL 234,192,2,0,0,,,,,,,,,,
PERKINS HALL 235,195,2,0,0,,,,,,,,,,
PERKINS HALL 236,203,2,0,0,,,,,,,,,,
PERKINS HALL 237,191,2,0,0,,,,,,,,,,
PERKINS HALL 238,187,2,0,0,,,,,,,,,,
PERKINS HALL 239,203,2,0,0,,,,,,,,,,
PERKINS HALL 240,195,2,0,0,,,,,,,,,,
PERKINS HALL 241,192,2,0,0,,,,,,,,,,
PERKINS HALL 242,192,2,0,0,,,,,,,,,,
PERKINS HALL 243,192,2,0,0,,,,,,,,,,
PERKINS HALL 244,195,2,0,0,,,,,,,,,,
PERKINS HALL 315,184,2,0,0,,,,,,,,,,
PERKINS HALL 316,194,2,0,0,,,,,,,,,,
PERKINS HALL 317,192,2,0,0,,,,,,,,,,
PERKINS HALL 318,192,2,0,0,,,,,,,,,,
PERKINS HALL 319,192,2,0,0,,,,,,,,,,
PERKINS HALL 320,194,2,0,0,,,,,,,,,,
PERKINS HALL 321,203,2,0,0,,,,,,,,,,
PERKINS HALL 324,203,2,0,0,,,,,,,,,,
PERKINS HALL 325,194,2,0,0,,,,,,,,,,
PERKINS HALL 326,192,2,0,0,,,,,,,,,,
PERKINS HALL 327,192,2,0,0,,,,,,,,,,
PERKINS HALL 328,192,2,0,0,,,,,,,,,,
PERKINS HALL 329,194,2,0,0,,,,,,,,,,
PERKINS HALL 330,205,2,0,0,,,,,,,,,,
PERKINS HALL 331,194,2,0,0,,,,,,,,,,
PERKINS HALL 332,192,2,0,0,,,,,,,,,,
PERKINS HALL 333,192,2,0,0,,,,,,,,,,
PERKINS HALL 334,192,2,0,0,,,,,,,,,,
PERKINS HALL 335,194,2,0,0,,,,,,,,,,
PERKINS HALL 336,203,2,0,0,,,,,,,,,,
PERKINS HALL 337,191,2,0,0,,,,,,,,,,
PERKINS HALL 338,186,2,0,0,,,,,,,,,,
PERKINS HALL 339,203,2,0,0,,,,,,,,,,
PERKINS HALL 340,194,2,0,0,,,,,,,,,,
PERKINS HALL 341,192,2,0,0,,,,,,,,,,
PERKINS HALL 342,192,2,0,0,,,,,,,,,,
PERKINS HALL 343,192,2,0,0,,,,,,,,,,
PERKINS HALL 344,194,2,0,0,,,,,,,,,,
SEARS HOUSE 111,120,1,0,0,,,,,,,,,,
SEARS HOUSE 112,120,1,0,0,,,,,,,,,,
SEARS HOUSE 113,192,2,0,0,,,,,,,,,,
SEARS HOUSE 114B,152,1,0,0,,,,,,,,,,
SEARS HOUSE 117,192,2,0,0,,,,,,,,,,
SEARS HOUSE 211,120,1,0,0,,,,,,,,,,
SEARS HOUSE 212,120,1,0,0,,,,,,,,,,
SEARS HOUSE 213,192,2,0,0,,,,,,,,,,
SEARS HOUSE 214,249,2,0,0,,,,,,,,,,
SEARS HOUSE 217,192,2,0,0,,,,,,,,,,
SEARS HOUSE 220,120,1,0,0,,,,,,,,,,
SEARS HOUSE 221,115,1,0,0,,,,,,,,,,
SEARS HOUSE 222,119,1,0,0,,,,,,,,,,
SEARS HOUSE 224,222,2,0,0,,,,,,,,,,
SEARS HOUSE 306A,109,1,0,0,,,,,,,,,,
SEARS HOUSE 306B,109,1,0,0,,,,,,,,,,
SEARS HOUSE 307,218,2,0,0,,,,,,,,,,
SEARS HOUSE 308,222,2,0,0,,,,,,,,,,
SEARS HOUSE 309,114,1,0,0,,,,,,,,,,
SEARS HOUSE 310,114,1,0,0,,,,,,,,,,
SEARS HOUSE 312,114,1,0,0,,,,,,,,,,
SEARS HOUSE 313,192,2,0,0,,,,,,,,,,
SEARS HOUSE 314,196,2,0,0,,,,,,,,,,
SEARS HOUSE 317,192,2,0,0,,,,,,,,,,
SEARS HOUSE 319,114,1,0,0,,,,,,,,,,
SEARS HOUSE 320,114,1,0,0,,,,,,,,,,
SEARS HOUSE 321,110,1,0,0,,,,,,,,,,
SEARS HOUSE 322,114,1,0,0,,,,,,,,,,
SOUTH CASWELL HALL 101,215,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 102,214,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 103,194,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 104,197,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 201,214,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 202,234,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 203,206,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 204,197,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 301,214,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 303,208,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 304,197,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 401,215,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 402,242,2,0,0,,,,,,,,,,
SOUTH CASWELL HALL 403,202,2,0,0,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
